plot_id,lon,lat,certainty
41.08,-51.38161362,64.13351561,uncertain
41.09,-51.38164434,64.1335277,uncertain
41.1,-51.38152182,64.13347986,uncertain
42,-51.38141646,64.13355888,likely
43,-51.38105266,64.13383008,likely
43.01,-51.3810282,64.13384674,likely
43.02,-51.38100601,64.13386185,likely
43.03,-51.38098383,64.13387695,certain
43.04,-51.38096167,64.13389205,likely
43.05,-51.38101465,64.13388879,likely
43.06,-51.38104551,64.13390065,likely
43.07,-51.38095299,64.1338651,likely
43.08,-51.38092449,64.1338552,certain
43.09,-51.38089901,64.13384437,certain
43.1,-51.38086043,64.13382954,likely
44,-51.38089221,64.13393935,likely
44.01,-51.38087006,64.13395444,possible
44.02,-51.38084789,64.13396954,possible
44.03,-51.38082573,64.13398463,possible
44.04,-51.38080358,64.13399972,possible
44.05,-51.38078143,64.1340148,possible
44.06,-51.38052676,64.13418906,certain
44.07,-51.38050371,64.13420394,likely
44.08,-51.38048071,64.13421859,certain
44.09,-51.38046123,64.13423182,certain
44.1,-51.38044028,64.13424714,likely
45,-51.38041537,64.1342641,certain
